104,500,NaN,NaN
104.37,500,500,4.1106
104.73,500,500,4.029
105.11,500,500,3.9808
105.47,500,500,3.9319
105.77,500,500,3.8809
106.02,500,500,3.8193
106.25,500,500,3.7499
106.5,500,500,3.7248
106.74,500,500,3.704
106.97,500,500,3.6949
107.19,500,500,3.6438
107.41,500,500,3.6658
107.58,500,500,3.6531
107.78,500,500,3.5978
108,500,500,3.5471
108.18,500,500,3.5281
108.36,500,500,3.5124
108.57,500,500,3.5065
108.75,500,500,3.5288
108.94,500,500,3.5349
109.25,500,500,3.7538
109.57,500,500,3.7378
109.75,500,500,3.637
109.94,500,500,3.5252
110.1,500,500,3.469
110.24,500,500,3.4588
110.4,500,500,3.4007
110.57,500,500,3.3667
110.86,500,500,3.4715
111.13,500,500,3.6142
111.36,500,500,3.7263
111.69,500,500,4.3337
111.93,500,500,5.0328
112.2,500,500,4.5671
112.38,500,500,4.2852
112.55,500,500,3.99
112.88,500,500,3.8066
113.34,500,500,4.0389
113.67,500,500,3.8913
113.89,500,500,3.7203
114.08,500,500,3.5698
114.21,500,500,3.4975
114.38,500,500,3.4588
114.5,500,500,3.3976
114.64,500,500,3.3715
114.77,500,500,3.344
114.88,500,500,3.3228
115.02,502.3,500,3.3296
115.11,510.03,502.3,3.3356
115.18,516.57,510.03,3.3198
115.34,531.89,516.57,3.3055
115.63,558.33,531.89,3.5911
115.93,586,558.33,3.6393
116.17,608.79,586,3.4916
116.33,622.75,608.79,3.4713
116.42,631.7,622.75,3.4193
116.52,640.7,631.7,3.3937
116.61,648.67,640.7,3.3926
116.67,654.45,648.67,3.3289
116.72,659.62,654.45,3.3042
116.77,663.94,659.62,3.3102
116.8,666.5,663.94,3.3239
116.82,669,666.5,3.289
116.87,672.84,669,3.3139
116.98,683.54,672.84,3.6018
117.04,689.33,683.54,3.6993
117.1,694.18,689.33,3.6152
117.12,695.96,694.18,3.4682
117.14,698.26,695.96,3.4071
117.16,699.79,698.26,3.3537
117.13,697.6,699.79,3.36
117.14,697.76,697.6,3.3053
117.13,697.04,697.76,3.2684
117.1,694.48,697.04,3.2446
117.08,692.75,694.48,3.2224
117.07,691.3,692.75,3.2212
117.09,693.44,691.3,3.2813
117.09,693.61,693.44,3.3078
117.08,693.11,693.61,3.3181
117.06,691.13,693.11,3.3391
117.03,687.7,691.13,3.3319
116.99,684.57,687.7,3.3196
116.96,681.26,684.57,3.2939
116.92,677.93,681.26,3.2948
116.88,674.2,677.93,3.2751
116.83,669.78,674.2,3.2131
116.81,667.6,669.78,3.1648
116.8,666.41,667.6,3.2346
116.75,661.68,666.41,3.2828
116.71,658.66,661.68,3.2816
116.66,653.38,658.66,3.2534
116.62,650.3,653.38,3.3325
116.57,645.43,650.3,3.2994
116.54,642.53,645.43,3.244
116.5,639.29,642.53,3.1383
116.48,637.46,639.29,3.2161
116.43,632.33,637.46,3.1956
116.41,630.56,632.33,3.1898
116.38,628.24,630.56,3.1056
116.38,628.01,628.24,3.0812
116.41,630.83,628.01,3.2316
116.43,632.62,630.83,3.129
116.4,630.08,632.62,3.0834
116.43,632.56,630.08,3.1085
116.44,632.98,632.56,3.1995
116.4,629.36,632.98,3.1956
116.38,627.96,629.36,3.2489
116.37,627.05,627.96,3.2876
116.34,623.65,627.05,3.2366
116.3,620.23,623.65,3.1788
116.24,615.11,620.23,3.1471
116.2,611.2,615.11,3.0907
116.14,605.31,611.2,3.0487
116.1,601.83,605.31,3.0175
116.04,596.51,601.83,3.0067
115.99,591.7,596.51,2.9882
115.95,587.62,591.7,3.0056
115.9,582.96,587.62,2.965
115.84,577.74,582.96,2.9574
